1984	2537.135812604816,1870.3374606893026
Fahrenheit 451	2410.510290691398,1803.0888675499516
Brave New(-)World	2463.2850110234376,1919.062764462104
Catch-22	2350.1597241023896,1699.1725998960687
The Catcher in(-)the Rye	2414.0773649021326,1562.8359677001079
Slaughterhouse-Five: A(-)Novel	1913.4115063178479,1423.0376623924442
Nineteen Eighty-Four	2488.483698904378,1697.8665709750403
Huxley's Brave New(-)World	2661.312810685003,2024.566636116696
Golding's the Lord of(-)the Flies	2803.166858026102,1979.9922885774856
Animal Farm	2657.931112335665,1800.9173900007356
A Clockwork(-)Orange	2272.574401648567,1637.8461630143365
The Great(-)Gatsby	2165.182019022283,1281.4905948436601
Of Mice and(-)Men	2275.7150390793754,1422.3093634878371
Lord of the(-)Flies	2486.3906585085565,2094.1471958305974
Cat's Cradle:(-)A Novel	1539.3895537190347,1163.507996428606
Breakfast of Champions:(-)A Novel	1464.4085105640615,1155.2017288354443
To Kill(-)a Mockingbird	2592.5381423063945,1754.1511401542816
One Flew Over the(-)Cuckoo's Nest:	2171.6068486622144,1535.125876934537
The Adventures of(-)Huckleberry Finn	2411.9120407095847,1323.8207795274625
Their Eyes Were(-)Watching God	2302.398886688108,1017.9619542497339
The Grapes of(-)Wrath	2135.0367562352308,1176.3076549762527
Death of a(-)Salesman	2730.138624245099,926.512726039697
Night	2483.4646351968154,1844.0361634846654
Of Mice(-)& Men	2245.220767230604,1438.5871720105588
The Sirens of Titan:(-)A Novel	1588.7176438724193,1097.2115224246588
Mother Night:(-)A Novel	1510.793428932637,1085.8898394751627
Welcome to the Monkey(-)House: Stories	1561.0040615733278,1025.6557812542833
Romeo and(-)Juliet	2922.6458690429195,2229.5482251402145
The Scarlet(-)Letter	2352.333273043209,1399.1938529726417
The Crucible(-)	2495.1795472478875,1221.0788087855753
Hawthorne's The Scarlet(-)Letter	2425.0571096021554,1146.212560949025
Invisible Man	2036.5495976880095,947.284190963028
The Things(-)They Carried	2324.504242010633,1246.426580334775
Their Eyes Were Watching(-)God CD	2399.3930691715245,1224.9840531286948
Fitzgerald's The Great(-)Gatsby	2424.778027156724,1064.9953109913363
East of(-)Eden	2006.4254932113183,1406.9171954232065
The Glass(-)Menagerie	2644.914938149318,964.5040809822879
A Streetcar(-)Named Desire	2802.3252935262367,766.1226809535283
A Raisin in(-)the Sun	2635.367469106827,1160.9783571049452
Player Piano	1385.2436181796759,1010.0239576829641
God Bless You,(-)Mr. Rosewater	1428.2082533289208,951.5610848483029
In Search of History -(-)Salem Witch Trials	2512.9731303089666,1183.4484376604578
Beloved	2001.6361567016588,1133.2191313649669
Native Son	2185.4587232159556,1112.2904841361744
Cannery Row:(-)	1927.514921793726,1063.0270726081435
Anna Karenina(-)	1975.537500267272,2207.8919990911986
Long Day's Journey(-)into Night	2851.8697056063947,1061.6776986539396
